,Unnamed: 0,date,company,position,return_1w,return_2w,return_1m,return_2m,lower_range,higher_range,stop_loss,price,stop_loss_after_2w,price_after_2w,stop_out_cover_short ,return_after_2w,same_day,one_week,two_week,one_month,two_month
106,106,8.31,DLR,short,-0.027248,0.06246128,-0.010973296,0.016628318,97,103,108,99.05,99,92.22,,6.90%,97.286992,99.937868,91.210322,98.354551,95.669273
107,107,8.31,DG,short,0.022612768,0.022419387,0.03622669,0.066712041,72,77,83,73.71,77,71.24,,3.35%,72.912789,71.264029,71.278129,70.2714,68.048628
108,108,8.31,FSLR,short,-0.017715547,0.073770518,-0.033315759,-0.086991036,37,42,46,37.78,43,34.78,,7.94%,37.82,38.490002,35.029999,39.080002,41.110001
109,109,8.31,SHLD,short,0.055918664,0.136528686,0.20043573,0.205519245,13,15,17,13.82,14.6,11.85,,14.25%,13.77,13,11.89,11.01,10.94
110,110,8.31,SIG,short,-0.00609905,0.034032702,0.086362553,-0.009087649,77,84,92,82.21,84,78.96,,3.95%,81.460561,81.957393,78.688238,74.425419,82.200846
111,111,8.31,STRP,short,0.009704725,0.029535906,-0.082278435,-0.164978896,18,23,26,21.62,26,21.18,,2.04%,23.700001,23.469999,23,25.65,27.610001
112,112,9.28,AMZN,long,0.018872496,0.00647994,-0.007396882,-0.05864463,815,825,789,827.58,789,824.81,,-0.33%,828.719971,844.359985,834.090027,822.590027,780.119995
113,113,9.28,AOS,long,0.026642525,0.006357916,-0.083863136,-0.017080415,94,98,88,95.58,44,49.13,,-48.60%,49.272281,50.585019,49.58555,45.140153,48.43069
114,114,9.28,AAPL,long,-0.007898153,0.029749878,0.014392265,-0.018858402,110,115,106,113.85,109,116.52,,2.35%,112.878547,111.987015,116.23667,114.503125,110.749838
115,115,9.28,ENDP,long,-0.042039399,-0.122093107,-0.070661893,-0.253130579,20,24,16,22.5,17,20.03,,-10.98%,22.360001,21.42,19.629999,20.780001,16.700001
116,116,9.28,VMC,long,-0.053738312,-0.070526081,-0.029075805,0.123767781,110,116,105,115.21,97,107.49,,-6.70%,115.379713,109.179402,107.242434,112.024955,129.660004
117,117,9.28,WB,long,0.029879724,0.037446643,-0.016298021,-0.030849825,48,53,45,50.94,45,53.01,,4.06%,51.540001,53.080002,53.470001,50.700001,49.950001
118,118,9.28,TWTR,long,0.083188244,-0.213850184,-0.246951143,-0.206446002,20,24,17,23.05,17,17.88,,-22.43%,22.959999,24.870001,18.049999,17.290001,18.219999
119,119,9.28,BBBY,short,-0.059352039,-0.00874907,0.040671587,-0.073776273,41,45,47,42.28,47,41.85,,1.02%,42.179225,44.682648,42.548254,40.463729,45.291051
120,120,9.28,PII,short,-0.012772374,-0.015062715,-0.021061078,-0.182618031,73,78,85,75.65,31,27.27,,63.95%,74.547847,75.5,75.67074,76.117905,88.161628
121,121,9.28,MLHR,short,0.019390545,0.046745088,0.025276992,-0.189404424,27,32,33,28.8,81,75.39,,-161.77%,28.734313,28.177139,27.391125,28.007996,34.176719
122,122,9.28,SKX,short,-0.024021352,-0.026690391,0.106761566,-0.010676112,20,24,27,22.49,,22.63,23.6,-0.62%,22.48,23.02,23.08,20.08,22.719999
123,123,9.28,VIA,short,-0.043743917,0.033479935,-0.034946229,-0.0153959,39,43,45,40.67,45,39.1,,3.86%,40.711489,42.492369,39.348471,42.134202,41.338279
124,124,9.28,VRX,short,0.069265708,0.141180886,0.17335352,0.358819039,24,28,32,26.36,28,22.62,,14.19%,26.42,24.59,22.690001,21.84,16.940001
125,125,9.28,DB,short,-0.104878049,-0.105691057,-0.183739837,-0.283739837,11,13,14.2,12.2,14.2,13.23,,-8.44%,12.3,13.59,13.6,14.56,15.79
126,126,10.26,DHR,long,-0.01286339,0.03202992,0.018266092,0.007975332,75,81,73,77.6,75,79.8,,2.84%,77.61671,76.618296,80.102767,79.034464,78.235729
127,127,10.26,EW,long,-0.058779851,-0.019098175,-0.078408477,-0.029920424,95,101,91,96.26,87,89.25,,-7.28%,94.25,88.709999,92.449997,86.860001,91.43
128,128,10.26,FB,long,-0.02953293,-0.059981635,-0.077838809,-0.091575035,128,133,126,131.18,112,116.5,,-11.19%,131.039993,127.169998,123.18,120.839996,119.040001
129,129,10.26,INTC,long,-0.009163799,0.002666256,0.015650444,0.067010017,32,37,30,34.82,30,34.78,,-0.11%,34.41193,34.096586,34.503681,34.950492,36.717874
130,130,10.26,MSFT,long,-0.019792181,-0.007587038,0.002936473,0.055075876,58,61,55,60.65,55,59.04,,-2.65%,59.860255,58.67549,59.406093,60.036033,63.157111
131,131,10.26,NFLX,long,-0.036465346,-0.03764668,-0.073088123,-0.00370167,121,129,117,127.3,110,114.3,,-10.21%,126.970001,122.339996,122.190002,117.690002,126.5
132,132,10.26,VMW,long,0.067657784,0.049925018,0.082389854,0.117310138,71,76,67,73.02,70,77.91,,6.70%,73.309998,78.26999,76.970001,79.349998,81.910004
133,133,10.26,CMG,short,-0.004374806,-0.004075866,-0.115184002,-0.0692354,355,375,389,364.07,,401.5,408-388,-10.28%,368.019989,369.630005,369.519989,410.410004,393.5
